Type,Date,Price,BalanceBefore,Profit,BalanceAfter
BUY,2009-03-06 02:30:00,935.65,10000.0,,
SELL,2009-03-10 05:30:00,917.08,,-18.569999999999936,9981.43
BUY,2009-03-12 17:30:00,923.03,9981.43,,
SELL,2009-03-17 09:30:00,920.03,,-3.0,9978.43
BUY,2009-03-19 09:30:00,929.37,9978.43,,
SELL,2009-03-24 06:30:00,942.59,,13.220000000000027,9991.65
BUY,2009-03-26 22:30:00,934.1,9991.65,,
SELL,2009-03-27 18:30:00,921.03,,-13.07000000000005,9978.58
BUY,2009-04-01 22:30:00,927.4,9978.58,,
SELL,2009-04-02 18:30:00,906.38,,-21.019999999999982,9957.56
BUY,2009-04-08 14:30:00,879.74,9957.56,,
SELL,2009-04-10 10:30:00,884.84,,5.100000000000023,9962.66
BUY,2009-04-13 06:30:00,887.65,9962.66,,
SELL,2009-04-16 10:30:00,889.53,,1.8799999999999955,9964.539999999999
BUY,2009-04-21 06:30:00,887.66,9964.539999999999,,
SELL,2009-04-28 10:30:00,897.8,,10.139999999999986,9974.679999999998
BUY,2009-05-04 18:30:00,901.79,9974.679999999998,,
SELL,2009-10-15 17:30:00,1049.09998,,147.30998,10121.989979999998
BUY,2009-10-20 01:30:00,1066.84998,10121.989979999998,,
SELL,2009-10-21 13:30:00,1053.40002,,-13.449959999999919,10108.540019999999
BUY,2009-10-22 05:30:00,1057.33997,10108.540019999999,,
SELL,2009-10-22 17:30:00,1058.90002,,1.5600500000000466,10110.100069999999
BUY,2009-10-23 09:30:00,1061.19995,10110.100069999999,,
SELL,2009-10-26 09:30:00,1056.0,,-5.199949999999944,10104.900119999998
BUY,2009-10-30 01:30:00,1046.30005,10104.900119999998,,
SELL,2009-11-13 10:30:00,1106.75,,60.449949999999944,10165.350069999999
BUY,2009-11-16 06:30:00,1128.90002,10165.350069999999,,
SELL,2009-11-20 06:30:00,1145.25,,16.34997999999996,10181.70005
BUY,2009-11-20 10:30:00,1142.59998,10181.70005,,
SELL,2009-11-27 18:30:00,1177.05005,,34.450070000000096,10216.15012
BUY,2009-12-01 14:30:00,1192.90002,10216.15012,,
SELL,2009-12-04 18:30:00,1157.33997,,-35.56005000000005,10180.59007
BUY,2009-12-16 14:30:00,1137.90002,10180.59007,,
SELL,2009-12-17 22:30:00,1098.55005,,-39.349969999999985,10141.2401
BUY,2009-12-24 14:30:00,1101.80005,10141.2401,,
SELL,2009-12-30 02:30:00,1093.75,,-8.050050000000056,10133.190050000001
BUY,2010-01-04 02:30:00,1098.09998,10133.190050000001,,
SELL,2010-01-08 14:30:00,1132.0,,33.90002000000004,10167.090070000002
BUY,2010-01-11 02:30:00,1155.58997,10167.090070000002,,
SELL,2010-01-13 06:30:00,1131.48999,,-24.09997999999996,10142.990090000003
BUY,2010-01-15 02:30:00,1140.54004,10142.990090000003,,
SELL,2010-01-15 18:30:00,1130.64001,,-9.900030000000015,10133.090060000002
BUY,2010-01-19 22:30:00,1138.14001,10133.090060000002,,
SELL,2010-01-20 18:30:00,1112.58997,,-25.55004000000008,10107.540020000002
BUY,2010-01-27 10:30:00,1094.15002,10107.540020000002,,
SELL,2010-01-27 22:30:00,1087.90002,,-6.25,10101.290020000002
BUY,2010-02-01 22:30:00,1105.30005,10101.290020000002,,
SELL,2010-02-04 18:30:00,1060.44995,,-44.85010000000011,10056.439920000003
BUY,2010-02-09 18:30:00,1076.68994,10056.439920000003,,
SELL,2010-02-18 14:30:00,1118.65002,,41.96008000000006,10098.400000000003
BUY,2010-02-22 06:30:00,1123.99,10098.400000000003,,
SELL,2010-02-23 14:30:00,1110.29,,-13.700000000000045,10084.700000000003
BUY,2010-02-26 10:30:00,1111.93994,10084.700000000003,,
SELL,2010-03-05 14:30:00,1135.30005,,23.360110000000077,10108.060110000002
BUY,2010-03-16 09:30:00,1114.5,10108.060110000002,,
SELL,2010-03-19 17:30:00,1107.84998,,-6.6500200000000405,10101.410090000001
BUY,2010-03-26 22:30:00,1108.15002,10101.410090000001,,
SELL,2010-04-13 14:30:00,1148.75,,40.59997999999996,10142.01007
BUY,2010-04-15 06:30:00,1155.45,10142.01007,,
SELL,2010-04-15 10:30:00,1153.15,,-2.2999999999999545,10139.710070000001
BUY,2010-04-15 18:30:00,1158.6,10139.710070000001,,
SELL,2010-04-16 22:30:00,1136.3,,-22.299999999999955,10117.410070000002
BUY,2010-04-21 06:30:00,1144.09,10117.410070000002,,
SELL,2010-04-23 02:30:00,1139.44,,-4.649999999999864,10112.760070000002
BUY,2010-04-26 02:30:00,1158.89,10112.760070000002,,
SELL,2010-05-05 06:30:00,1168.94,,10.049999999999955,10122.810070000001
BUY,2010-05-06 18:30:00,1196.54,10122.810070000001,,
SELL,2010-05-17 06:30:00,1239.59,,43.049999999999955,10165.86007
BUY,2010-05-24 22:30:00,1191.35,10165.86007,,
SELL,2010-05-31 10:30:00,1212.95,,21.600000000000136,10187.460070000001
BUY,2010-05-31 14:30:00,1214.85,10187.460070000001,,
SELL,2010-06-03 22:30:00,1206.5,,-8.349999999999909,10179.11007
BUY,2010-06-07 14:30:00,1215.15,10179.11007,,
SELL,2010-06-10 10:30:00,1221.2,,6.0499999999999545,10185.16007
BUY,2010-06-15 22:30:00,1233.95,10185.16007,,
SELL,2010-06-22 06:30:00,1237.4,,3.4500000000000455,10188.61007
BUY,2010-06-25 02:30:00,1245.45,10188.61007,,
SELL,2010-06-29 10:30:00,1235.6,,-9.850000000000136,10178.76007
BUY,2010-07-08 14:30:00,1193.45,10178.76007,,
SELL,2010-07-09 02:30:00,1199.15,,5.7000000000000455,10184.460070000001
BUY,2010-07-09 18:30:00,1209.25,10184.460070000001,,
SELL,2010-07-13 06:30:00,1199.65,,-9.599999999999909,10174.86007
BUY,2010-07-13 18:30:00,1212.64,10174.86007,,
SELL,2010-07-16 10:30:00,1205.65,,-6.990000000000009,10167.87007
BUY,2010-07-21 14:30:00,1191.1,10167.87007,,
SELL,2010-07-22 14:30:00,1199.45,,8.350000000000136,10176.220070000001
BUY,2010-07-22 18:30:00,1194.95,10176.220070000001,,
SELL,2010-07-26 10:30:00,1189.0,,-5.9500000000000455,10170.27007
BUY,2010-07-30 14:30:00,1169.2,10170.27007,,
SELL,2010-08-10 14:30:00,1193.2,,24.0,10194.27007
BUY,2010-08-11 18:30:00,1199.95,10194.27007,,
SELL,2010-08-11 22:30:00,1197.85,,-2.1000000000001364,10192.17007
BUY,2010-08-12 18:30:00,1214.6,10192.17007,,
SELL,2010-08-23 06:30:00,1229.35,,14.75,10206.92007
BUY,2010-08-25 10:30:00,1236.1,10206.92007,,
SELL,2010-08-30 10:30:00,1235.15,,-0.9499999999998181,10205.97007
BUY,2010-08-31 18:30:00,1249.45,10205.97007,,
SELL,2010-09-06 02:30:00,1247.85,,-1.6000000000001364,10204.370069999999
BUY,2010-09-06 18:30:00,1249.85,10204.370069999999,,
SELL,2010-09-09 22:30:00,1243.55,,-6.2999999999999545,10198.07007
BUY,2010-09-14 14:30:00,1264.8,10198.07007,,
SELL,2010-09-28 13:30:00,1291.4,,26.600000000000136,10224.67007
BUY,2010-09-29 01:30:00,1308.8,10224.67007,,
SELL,2010-10-08 09:30:00,1329.37,,20.569999999999936,10245.24007
BUY,2010-10-11 09:30:00,1348.3,10245.24007,,
SELL,2010-10-18 05:30:00,1361.15,,12.850000000000136,10258.09007
BUY,2010-10-25 13:30:00,1339.95,10258.09007,,
SELL,2010-10-27 17:30:00,1323.6,,-16.350000000000136,10241.74007
BUY,2010-10-29 01:30:00,1340.9,10241.74007,,
SELL,2010-11-03 21:30:00,1348.45,,7.5499999999999545,10249.29007
BUY,2010-11-04 17:30:00,1380.4,10249.29007,,
SELL,2010-11-10 14:30:00,1395.35,,14.949999999999818,10264.24007
BUY,2010-11-11 10:30:00,1414.15,10264.24007,,
SELL,2010-11-12 06:30:00,1389.9,,-24.25,10239.99007
BUY,2010-11-18 22:30:00,1353.3,10239.99007,,
SELL,2010-11-26 10:30:00,1367.4,,14.100000000000136,10254.09007
BUY,2010-11-30 14:30:00,1381.57,10254.09007,,
SELL,2010-12-08 10:30:00,1397.15,,15.580000000000155,10269.67007
BUY,2010-12-13 18:30:00,1398.15,10269.67007,,
SELL,2010-12-15 18:30:00,1386.66,,-11.490000000000009,10258.18007
BUY,2010-12-20 14:30:00,1382.6,10258.18007,,
SELL,2010-12-23 14:30:00,1373.2,,-9.399999999999864,10248.78007
BUY,2010-12-28 06:30:00,1389.8,10248.78007,,
SELL,2011-01-04 18:30:00,1377.2,,-12.599999999999909,10236.18007
BUY,2011-01-10 22:30:00,1375.55,10236.18007,,
SELL,2011-01-14 02:30:00,1376.15,,0.6000000000001364,10236.78007
BUY,2011-01-19 14:30:00,1372.65,10236.78007,,
SELL,2011-01-20 18:30:00,1348.05,,-24.600000000000136,10212.18007
BUY,2011-01-27 06:30:00,1345.25,10212.18007,,
SELL,2011-01-28 02:30:00,1313.6,,-31.65000000000009,10180.53007
BUY,2011-01-31 10:30:00,1329.75,10180.53007,,
SELL,2011-02-03 02:30:00,1335.75,,6.0,10186.53007
BUY,2011-02-03 22:30:00,1354.2,10186.53007,,
SELL,2011-02-11 22:30:00,1356.45,,2.25,10188.78007
BUY,2011-02-15 02:30:00,1364.5,10188.78007,,
SELL,2011-02-25 18:30:00,1409.1,,44.59999999999991,10233.380070000001
BUY,2011-02-28 10:30:00,1410.85,10233.380070000001,,
SELL,2011-03-04 02:30:00,1418.0,,7.150000000000091,10240.53007
BUY,2011-03-07 06:30:00,1436.65,10240.53007,,
SELL,2011-03-09 10:30:00,1429.9,,-6.75,10233.78007
BUY,2011-03-14 13:30:00,1429.65,10233.78007,,
SELL,2011-03-15 17:30:00,1394.65,,-35.0,10198.78007
BUY,2011-03-18 05:30:00,1412.05,10198.78007,,
SELL,2011-03-25 22:30:00,1427.75,,15.700000000000045,10214.480070000001
BUY,2011-03-31 02:30:00,1424.25,10214.480070000001,,
SELL,2011-04-04 10:30:00,1432.4,,8.150000000000091,10222.630070000001
BUY,2011-04-04 14:30:00,1434.35,10222.630070000001,,
SELL,2011-04-12 10:30:00,1463.05,,28.700000000000045,10251.330070000002
BUY,2011-04-14 18:30:00,1471.8,10251.330070000002,,
SELL,2011-04-26 10:30:00,1504.4,,32.600000000000136,10283.930070000002
BUY,2011-04-27 14:30:00,1510.8,10283.930070000002,,
SELL,2011-05-03 18:30:00,1533.65,,22.850000000000136,10306.780070000003
BUY,2011-05-09 22:30:00,1513.34,10306.780070000003,,
SELL,2011-05-12 06:30:00,1497.0,,-16.339999999999918,10290.440070000002
BUY,2011-05-18 22:30:00,1497.0,10290.440070000002,,
SELL,2011-05-27 02:30:00,1524.65,,27.65000000000009,10318.090070000002
BUY,2011-05-27 18:30:00,1534.48,10318.090070000002,,
SELL,2011-06-01 10:30:00,1532.35,,-2.130000000000109,10315.960070000001
BUY,2011-06-02 02:30:00,1540.12,10315.960070000001,,
SELL,2011-06-03 06:30:00,1532.07,,-8.049999999999955,10307.910070000002
BUY,2011-06-06 02:30:00,1544.85,10307.910070000002,,
SELL,2011-06-08 14:30:00,1537.05,,-7.7999999999999545,10300.110070000002
BUY,2011-06-10 10:30:00,1541.18,10300.110070000002,,
SELL,2011-06-10 22:30:00,1530.99,,-10.190000000000055,10289.920070000002
BUY,2011-06-15 22:30:00,1530.6,10289.920070000002,,
SELL,2011-06-23 18:30:00,1516.15,,-14.449999999999818,10275.470070000003
BUY,2011-06-29 14:30:00,1503.61,10275.470070000003,,
SELL,2011-07-01 06:30:00,1498.9,,-4.709999999999809,10270.760070000004
BUY,2011-07-05 14:30:00,1509.7,10270.760070000004,,
SELL,2011-07-20 10:30:00,1586.85,,77.14999999999986,10347.910070000004
BUY,2011-07-21 10:30:00,1598.55,10347.910070000004,,
SELL,2011-07-22 02:30:00,1589.95,,-8.599999999999909,10339.310070000003
BUY,2011-07-22 22:30:00,1602.4,10339.310070000003,,
SELL,2011-07-28 14:30:00,1613.8,,11.399999999999864,10350.710070000003
BUY,2011-07-29 18:30:00,1626.15,10350.710070000003,,
SELL,2011-08-01 22:30:00,1619.26,,-6.8900000000001,10343.820070000003
BUY,2011-08-02 02:30:00,1619.71,10343.820070000003,,
SELL,2011-08-05 14:30:00,1660.95,,41.24000000000001,10385.060070000003
BUY,2011-08-08 02:30:00,1692.8,10385.060070000003,,
SELL,2011-08-12 10:30:00,1750.25,,57.450000000000045,10442.510070000004
BUY,2011-08-16 10:30:00,1779.31,10442.510070000004,,
SELL,2011-08-24 06:30:00,1840.86,,61.549999999999955,10504.060070000003
BUY,2011-08-29 02:30:00,1813.55,10504.060070000003,,
SELL,2011-09-07 10:30:00,1843.0,,29.450000000000045,10533.510070000004
BUY,2011-09-09 10:30:00,1873.55,10533.510070000004,,
SELL,2011-09-12 22:30:00,1814.8,,-58.75,10474.760070000004
BUY,2011-09-19 10:30:00,1817.0,10474.760070000004,,
SELL,2011-09-20 02:30:00,1782.25,,-34.75,10440.010070000004
BUY,2011-09-21 02:30:00,1801.1,10440.010070000004,,
SELL,2011-09-22 05:30:00,1775.25,,-25.84999999999991,10414.160070000004
BUY,2011-09-28 17:30:00,1608.3,10414.160070000004,,
SELL,2011-09-28 21:30:00,1609.05,,0.75,10414.910070000004
BUY,2011-10-03 13:30:00,1651.8,10414.910070000004,,
SELL,2011-10-05 05:30:00,1624.7,,-27.09999999999991,10387.810070000003
BUY,2011-10-06 13:30:00,1635.6,10387.810070000003,,
SELL,2011-10-13 17:30:00,1664.3,,28.700000000000045,10416.510070000004
BUY,2011-10-14 17:30:00,1682.45,10416.510070000004,,
SELL,2011-10-18 09:30:00,1657.15,,-25.299999999999955,10391.210070000005
BUY,2011-10-24 09:30:00,1651.57,10391.210070000005,,
SELL,2011-10-31 13:30:00,1718.86,,67.28999999999996,10458.500070000006
BUY,2011-11-02 17:30:00,1730.98,10458.500070000006,,
SELL,2011-11-10 06:30:00,1757.0,,26.019999999999982,10484.520070000006
BUY,2011-11-14 02:30:00,1793.75,10484.520070000006,,
SELL,2011-11-15 22:30:00,1780.55,,-13.200000000000045,10471.320070000005
BUY,2011-11-25 06:30:00,1685.137,10471.320070000005,,
SELL,2011-11-25 14:30:00,1686.5,,1.3630000000000564,10472.683070000005
BUY,2011-11-28 14:30:00,1714.8,10472.683070000005,,
SELL,2011-12-05 22:30:00,1722.6,,7.7999999999999545,10480.483070000004
BUY,2011-12-07 22:30:00,1741.59,10480.483070000004,,
SELL,2011-12-09 02:30:00,1713.94,,-27.649999999999864,10452.833070000004
BUY,2011-12-19 10:30:00,1596.2,10452.833070000004,,
SELL,2011-12-22 22:30:00,1605.57,,9.36999999999989,10462.203070000003
BUY,2012-01-03 02:30:00,1577.05,10462.203070000003,,
SELL,2012-01-09 14:30:00,1616.838,,39.78800000000001,10501.991070000004
BUY,2012-01-10 18:30:00,1632.3,10501.991070000004,,
SELL,2012-01-13 22:30:00,1639.27,,6.970000000000027,10508.961070000003
BUY,2012-01-17 06:30:00,1658.71,10508.961070000003,,
SELL,2012-01-20 10:30:00,1646.3,,-12.410000000000082,10496.551070000003
BUY,2012-01-23 02:30:00,1667.45,10496.551070000003,,
SELL,2012-01-25 06:30:00,1668.1,,0.6499999999998636,10497.201070000003
BUY,2012-01-26 02:30:00,1710.485,10497.201070000003,,
SELL,2012-02-06 02:30:00,1735.831,,25.346000000000004,10522.547070000002
BUY,2012-02-08 06:30:00,1750.5,10522.547070000002,,
SELL,2012-02-10 10:30:00,1719.9,,-30.59999999999991,10491.947070000002
BUY,2012-02-15 14:30:00,1734.7,10491.947070000002,,
SELL,2012-02-16 18:30:00,1726.713,,-7.98700000000008,10483.960070000001
BUY,2012-02-17 06:30:00,1731.45,10483.960070000001,,
SELL,2012-02-27 14:30:00,1770.3,,38.84999999999991,10522.810070000001
BUY,2012-02-28 22:30:00,1783.95,10522.810070000001,,
SELL,2012-02-29 22:30:00,1696.6,,-87.35000000000014,10435.460070000001
BUY,2012-03-08 18:30:00,1698.2,10435.460070000001,,
SELL,2012-03-13 17:30:00,1693.41,,-4.789999999999964,10430.67007
BUY,2012-03-19 05:30:00,1662.1,10430.67007,,
SELL,2012-03-20 17:30:00,1647.789,,-14.310999999999922,10416.35907
BUY,2012-03-23 18:30:00,1663.9,10416.35907,,
SELL,2012-03-28 22:30:00,1663.45,,-0.4500000000000455,10415.90907
BUY,2012-04-02 06:30:00,1668.65,10415.90907,,
SELL,2012-04-04 06:30:00,1643.72,,-24.930000000000064,10390.97907
BUY,2012-04-09 06:30:00,1643.15,10390.97907,,
SELL,2012-04-16 06:30:00,1647.75,,4.599999999999909,10395.57907
BUY,2012-04-25 02:30:00,1642.13,10395.57907,,
SELL,2012-05-02 14:30:00,1649.525,,7.394999999999982,10402.97407
BUY,2012-05-17 22:30:00,1573.95,10402.97407,,
SELL,2012-05-22 22:30:00,1568.25,,-5.7000000000000455,10397.27407
BUY,2012-05-25 22:30:00,1572.9,10397.27407,,
SELL,2012-05-30 02:30:00,1551.9,,-21.0,10376.27407
BUY,2012-05-31 14:30:00,1557.36,10376.27407,,
SELL,2012-05-31 18:30:00,1561.969,,4.609000000000151,10380.88307
BUY,2012-06-01 18:30:00,1625.8,10380.88307,,
SELL,2012-06-07 18:30:00,1587.4,,-38.399999999999864,10342.48307
BUY,2012-06-12 18:30:00,1610.85,10342.48307,,
SELL,2012-06-20 06:30:00,1621.2,,10.350000000000136,10352.83307
BUY,2012-06-26 06:30:00,1583.995,10352.83307,,
SELL,2012-06-27 10:30:00,1569.0,,-14.99499999999989,10337.838070000002
BUY,2012-06-29 22:30:00,1597.05,10337.838070000002,,
SELL,2012-07-06 02:30:00,1605.2,,8.150000000000091,10345.988070000001
BUY,2012-07-13 18:30:00,1592.125,10345.988070000001,,
SELL,2012-07-18 10:30:00,1577.577,,-14.548000000000002,10331.44007
BUY,2012-07-20 22:30:00,1584.231,10331.44007,,
SELL,2012-07-23 18:30:00,1576.352,,-7.878999999999905,10323.56107
BUY,2012-07-25 06:30:00,1584.05,10323.56107,,
SELL,2012-08-01 02:30:00,1612.91,,28.860000000000127,10352.42107
BUY,2012-08-06 10:30:00,1608.55,10352.42107,,
SELL,2012-08-14 06:30:00,1611.85,,3.2999999999999545,10355.72107
BUY,2012-08-16 22:30:00,1614.8,10355.72107,,
SELL,2012-08-28 06:30:00,1661.0,,46.200000000000045,10401.92107
BUY,2012-08-31 22:30:00,1691.7,10401.92107,,
SELL,2012-09-06 02:30:00,1697.5,,5.7999999999999545,10407.72107
BUY,2012-09-06 06:30:00,1698.3,10407.72107,,
SELL,2012-09-13 10:30:00,1730.15,,31.850000000000136,10439.57107
BUY,2012-09-13 22:30:00,1766.48,10439.57107,,
SELL,2012-09-18 10:30:00,1756.7,,-9.779999999999973,10429.79107
BUY,2012-09-19 10:30:00,1773.209,10429.79107,,
SELL,2012-09-20 18:30:00,1767.3,,-5.9090000000001055,10423.88207
BUY,2012-09-21 09:30:00,1773.5,10423.88207,,
SELL,2012-09-24 13:30:00,1762.85,,-10.650000000000091,10413.23207
BUY,2012-09-27 21:30:00,1777.0,10413.23207,,
SELL,2012-10-03 05:30:00,1774.595,,-2.4049999999999727,10410.82707
BUY,2012-10-03 17:30:00,1776.65,10410.82707,,
SELL,2012-10-08 05:30:00,1768.95,,-7.7000000000000455,10403.127069999999
BUY,2012-10-12 05:30:00,1769.41,10403.127069999999,,
SELL,2012-10-15 01:30:00,1744.42,,-24.99000000000001,10378.137069999999
BUY,2012-10-17 13:30:00,1747.69,10378.137069999999,,
SELL,2012-10-19 01:30:00,1740.1,,-7.5900000000001455,10370.547069999999
BUY,2012-10-26 01:30:00,1714.14,10370.547069999999,,
SELL,2012-10-26 13:30:00,1714.67,,0.5299999999999727,10371.07707
BUY,2012-10-26 17:30:00,1712.08,10371.07707,,
SELL,2012-10-29 01:30:00,1715.02,,2.9400000000000546,10374.01707
BUY,2012-10-29 05:30:00,1715.2,10374.01707,,
SELL,2012-10-30 05:30:00,1709.32,,-5.880000000000109,10368.13707
BUY,2012-10-31 05:30:00,1711.57,10368.13707,,
SELL,2012-10-31 09:30:00,1717.92,,6.350000000000136,10374.487070000001
BUY,2012-10-31 13:30:00,1719.15,10374.487070000001,,
SELL,2012-11-02 09:30:00,1707.2,,-11.950000000000045,10362.53707
BUY,2012-11-07 02:30:00,1718.78,10362.53707,,
SELL,2012-11-13 10:30:00,1726.41,,7.630000000000109,10370.16707
BUY,2012-11-19 18:30:00,1734.24,10370.16707,,
SELL,2012-11-21 22:30:00,1728.29,,-5.9500000000000455,10364.217069999999
BUY,2012-11-22 06:30:00,1729.33,10364.217069999999,,
SELL,2012-11-22 10:30:00,1729.69,,0.36000000000012733,10364.57707
BUY,2012-11-22 14:30:00,1730.74,10364.57707,,
SELL,2012-11-28 10:30:00,1740.0,,9.259999999999991,10373.83707
BUY,2012-12-07 10:30:00,1696.3,10373.83707,,
SELL,2012-12-13 10:30:00,1695.6,,-0.7000000000000455,10373.137069999999
BUY,2012-12-18 10:30:00,1699.5,10373.137069999999,,
SELL,2012-12-18 22:30:00,1670.95,,-28.549999999999955,10344.58707
BUY,2012-12-24 18:30:00,1659.48,10344.58707,,
SELL,2012-12-31 02:30:00,1660.18,,0.7000000000000455,10345.28707
BUY,2012-12-31 14:30:00,1662.64,10345.28707,,
SELL,2013-01-04 06:30:00,1652.74,,-9.900000000000091,10335.38707
BUY,2013-01-09 02:30:00,1658.49,10335.38707,,
SELL,2013-01-14 06:30:00,1667.447,,8.95699999999988,10344.344070000001
BUY,2013-01-14 18:30:00,1668.15,10344.344070000001,,
SELL,2013-01-24 02:30:00,1683.62,,15.4699999999998,10359.81407
BUY,2013-01-30 02:30:00,1664.35,10359.81407,,
SELL,2013-02-01 06:30:00,1663.6,,-0.75,10359.06407
BUY,2013-02-04 10:30:00,1664.75,10359.06407,,
SELL,2013-02-04 14:30:00,1666.86,,2.1099999999999,10361.174070000001
BUY,2013-02-05 02:30:00,1673.69,10361.174070000001,,
SELL,2013-02-08 02:30:00,1672.3,,-1.3900000000001,10359.784070000002
BUY,2013-02-25 14:30:00,1588.76,10359.784070000002,,
SELL,2013-02-28 14:30:00,1587.89,,-0.8699999999998909,10358.914070000003
BUY,2013-03-05 18:30:00,1576.65,10358.914070000003,,
SELL,2013-03-06 14:30:00,1571.4,,-5.25,10353.664070000003
BUY,2013-03-07 06:30:00,1584.11,10353.664070000003,,
